"MEASURE","Measure","AGE","Age","ASGS_2011","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"1","Births","A15","15 - 19","0","Australia","A","Annual","2004","2004",10857,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","2005","2005",11151,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","2006","2006",11005,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","2007","2007",11835,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","2008","2008",12932,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","2009","2009",12702,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","2010","2010",11865,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","2011","2011",11344,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","2012","2012",11420,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","2013","2013",10407,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","2014","2014",9204,,
"1","Births","A15","15 - 19","0","Australia","A","Annual","2015","2015",8574,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","2004","2004",670030,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","2005","2005",673600,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","2006","2006",678066,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","2007","2007",691130,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","2008","2008",703855,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","2009","2009",710996,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","2010","2010",710727,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","2011","2011",706860,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","2012","2012",709039,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","2013","2013",711826,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","2014","2014",715821,,
"2","Female population","A15","15 - 19","0","Australia","A","Annual","2015","2015",718843,,
"11","Fertility rate","A15","15 - 19","0","Australia","A","Annual","2004","2004",16.2,,
"11","Fertility rate","A15","15 - 19","0","Australia","A","Annual","2005","2005",16.6,,
"11","Fertility rate","A15","15 - 19","0","Australia","A","Annual","2006","2006",16.3,,
"11","Fertility rate","A15","15 - 19","0","Australia","A","Annual","2007","2007",17.1,,
"11","Fertility rate","A15","15 - 19","0","Australia","A","Annual","2008","2008",18.4,,
"11","Fertility rate","A15","15 - 19","0","Australia","A","Annual","2009","2009",17.9,,
"11","Fertility rate","A15","15 - 19","0","Australia","A","Annual","2010","2010",16.7,,
"11","Fertility rate","A15","15 - 19","0","Australia","A","Annual","2011","2011",16.1,,
"11","Fertility rate","A15","15 - 19","0","Australia","A","Annual","2012","2012",16.1,,
"11","Fertility rate","A15","15 - 19","0","Australia","A","Annual","2013","2013",14.6,,
"11","Fertility rate","A15","15 - 19","0","Australia","A","Annual","2014","2014",12.9,,
"11","Fertility rate","A15","15 - 19","0","Australia","A","Annual","2015","2015",11.9,,
"1","Births","A15","15 - 19","1","New South Wales","A","Annual","2004","2004",3310,,
